concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,ai_suggested_label
Thevenin’s Theorem,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.1857,0.0,0
Thevenin’s Theorem,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.0179,0.0,0
Thevenin’s Theorem,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.0522,0.0,0
Thevenin’s Theorem,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,8,1,0.0626,0.0,0
Thevenin’s Theorem,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,9,1,0.0841,0.0,0
Thevenin’s Theorem,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,10,1,0.0536,0.0,0
Maximum Power Transfer Theorem,AC Circuits: Generation of alternating voltage,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.2214,0.0,0
Maximum Power Transfer Theorem,Single-phase ac series,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.1733,0.0,0
Maximum Power Transfer Theorem,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.0918,0.0,0
Maximum Power Transfer Theorem,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.0517,0.0,0
Maximum Power Transfer Theorem,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.1601,0.0,0
Maximum Power Transfer Theorem,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.2756,0.0,0
Maximum Power Transfer Theorem,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.1115,0.0,0
Maximum Power Transfer Theorem,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,8,1,0.1177,0.0,0
Maximum Power Transfer Theorem,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,9,1,0.145,0.0,0
AC Circuits: Generation of alternating voltage,Single-phase ac series,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.4646,0.1111,1
AC Circuits: Generation of alternating voltage,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.1959,0.0,0
AC Circuits: Generation of alternating voltage,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.1012,0.0,0
AC Circuits: Generation of alternating voltage,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.2237,0.0,0
AC Circuits: Generation of alternating voltage,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.2132,0.0,0
AC Circuits: Generation of alternating voltage,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.2498,0.0,0
AC Circuits: Generation of alternating voltage,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.1928,0.0,0
AC Circuits: Generation of alternating voltage,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,8,1,0.2077,0.0,0
Single-phase ac series,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.2361,0.0,0
Single-phase ac series,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.3735,0.1667,1
Single-phase ac series,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.5158,0.25,0
Single-phase ac series,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.1714,0.0,0
Single-phase ac series,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.5232,0.3333,1
Single-phase ac series,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.1128,0.0,0
Single-phase ac series,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.0548,0.0,0
RLC combinations,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.1097,0.0,0
RLC combinations,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.0544,0.0,0
RLC combinations,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.1141,0.0,0
RLC combinations,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,-0.0099,0.0,0
RLC combinations,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.0662,0.0,0
RLC combinations,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,-0.0515,0.0,0
Series and parallel,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.1058,0.0,0
Series and parallel,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.1353,0.0,0
Series and parallel,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.1831,0.0,0
Series and parallel,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.0044,0.0,0
Series and parallel,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.0553,0.0,0
Single Phase Transformer: (Numerical are not,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.44,0.1429,1
Single Phase Transformer: (Numerical are not,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.4492,0.25,1
Single Phase Transformer: (Numerical are not,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.3061,0.3333,1
Single Phase Transformer: (Numerical are not,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.2263,0.3333,1
Transformer losses,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.0906,0.0,0
Transformer losses,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.1698,0.0,0
Transformer losses,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.0575,0.0,0
Single-Phase induction motors,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.1096,0.0,0
Single-Phase induction motors,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.0742,0.0,0
Special Purpose Diodes: (Numerical are not,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.4065,0.3333,1
Fundamentals of Communication,1. Situational Application of Fundamentals of  Communication 1.2. Case Studies on Fundamentals of Communication,6.14N-CSE-AIML.pdf,AEL101,Professional Communication and Ethics,1,1,0.8124,0.3,1
Fundamentals of Communication,Developing Basic Listening Skills,6.14N-CSE-AIML.pdf,AEL101,Professional Communication and Ethics,2,1,0.3633,0.0,1
1. Situational Application of Fundamentals of  Communication 1.2. Case Studies on Fundamentals of Communication,Developing Basic Listening Skills,6.14N-CSE-AIML.pdf,AEL101,Professional Communication and Ethics,1,1,0.2679,0.0,0
Linear Differential Equation with constant coefficient‐,Method of variation ofparameters,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,1,1,0.0107,0.0,0
Linear Differential Equation with constant coefficient‐,# Self learning topics: Cauchy’s homogeneous linear differential,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,2,1,0.2437,0.1667,0
Linear Differential Equation with constant coefficient‐,Applications of Higher,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,3,1,-0.0993,0.0,0
Linear Differential Equation with constant coefficient‐,Designing Nano computer,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,4,1,-0.0176,0.0,0
Linear Differential Equation with constant coefficient‐,Digital Image Processing - Rafael C. Gonzalez,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,5,1,0.0007,0.0,0
Linear Differential Equation with constant coefficient‐,A Textbook of Nanoscience and Nanotechnology,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,6,1,0.0542,0.0,0
Method of variation ofparameters,# Self learning topics: Cauchy’s homogeneous linear differential,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,1,1,0.1925,0.0,0
Method of variation ofparameters,Applications of Higher,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,2,1,0.066,0.1667,0
Method of variation ofparameters,Designing Nano computer,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,3,1,0.0177,0.0,0
Method of variation ofparameters,Digital Image Processing - Rafael C. Gonzalez,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,4,1,0.202,0.0,0
Method of variation ofparameters,A Textbook of Nanoscience and Nanotechnology,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,5,1,0.0363,0.1111,0
# Self learning topics: Cauchy’s homogeneous linear differential,Applications of Higher,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,1,1,0.1304,0.0,0
# Self learning topics: Cauchy’s homogeneous linear differential,Designing Nano computer,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,2,1,0.1306,0.0,0
# Self learning topics: Cauchy’s homogeneous linear differential,Digital Image Processing - Rafael C. Gonzalez,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,3,1,0.2283,0.0,0
# Self learning topics: Cauchy’s homogeneous linear differential,A Textbook of Nanoscience and Nanotechnology,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,4,1,0.3315,0.0,0
Applications of Higher,Designing Nano computer,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,1,1,0.157,0.0,0
Applications of Higher,Digital Image Processing - Rafael C. Gonzalez,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,2,1,0.1803,0.0,0
Applications of Higher,A Textbook of Nanoscience and Nanotechnology,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,3,1,0.1598,0.125,0
Designing Nano computer,Digital Image Processing - Rafael C. Gonzalez,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,1,1,0.1155,0.0,0
Designing Nano computer,A Textbook of Nanoscience and Nanotechnology,6.14N-CSE-AIML.pdf,BSC201,Course Code Course Name,2,1,0.4999,0.0,1
