concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match
Statistical Techniques,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1
Statistical Techniques,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1
Statistical Techniques,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1
Statistical Techniques,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1
Lines of regression,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1
Lines of regression,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1
Lines of regression,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1
Lines of regression,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1
Moment generating function,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1
Moment generating function,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1
Moment generating function,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1
Raw moments,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1
Raw moments,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1
Poisson Distribution,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1
Regular operations,Regular Expression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1
Regular operations,Arden's theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1
Regular operations,Regular Language,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1
Regular operations,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1
